users,,,,
,7000000003,paytm@123,basic_noppbl_nopostpaid,
,8791465868,paytm@123,basic,
,9560460951,paytm@123,basic,
,7000000001,paytm@123,basic_nopostpaid,
,5555000014,paytm@123,basic,
,5555000009,paytm@123,basic,
,5555000010,paytm@123,basic,
,5555000012,paytm@123,basic_ppbl_postpaid,
,5555000013,paytm@123,basic_ppbl,
,5555000015,paytm@123,basic,
,5555000016,paytm@123,basic,
,5555000020,paytm@123,basic,
,5555000021,paytm@123,basic,
,5555000023,paytm@123,basic,
,5555000024,paytm@123,basic,
,5555000025,paytm@123,basic,
,5555000026,paytm@123,basic,
,5555000027,paytm@123,basic,
,5555000028,paytm@123,basic,
,5555000029,paytm@123,basic,
,5555000030,paytm@123,basic,
,5555000031,paytm@123,basic,
,5555000032,paytm@123,basic,
,5555000035,paytm@123,basic,
,5555000036,paytm@123,basic,
,5555000037,paytm@123,basic,
,5555000038,paytm@123,basic,
,5555000039,paytm@123,basic,
,5555000040,paytm@123,basic,
,5555000041,paytm@123,basic,
,5555000042,paytm@123,basic,
,5555000043,paytm@123,basic,
,8512005349,paytm@197,link,
,9799014633,paytm@197,link,
,7275339424,paytm@197,link,
,7275339424,paytm@197,autolink,
,8512005349,paytm@123,PG2POSTPAIDUSER,
,8684922965,paytm@123,savedvpa,
,9818686101,paytm@123,basic_advancedepositlowbalanceuser_nonemidc,
,7000100107,paytm@123,basictokyc,
,983434113,Invalid,invalidmobno,
,7011753627,paytm@123,emidc_nomgv,
,5555000102,paytm@123,riskreject,
,8006006993,paytm@123,foodwallet,
,5555000017,paytm@123,foodwallet,
,7389323225,paytm@123,basictokyc,
,,,,users
